Nombre;Nombre Largo;CAEDED;Descripcion
EMPRESA CONSTRUCTORA EL CEIBO S.R.L;EMPRESA CONSTRUCTORA EL CEIBO S.R.L;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
NAYJAMA CONSTRUCCIONES S.R.L.;NAYJAMA CONSTRUCCIONES SRL;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
ESSENTIAL BUSINESS CENTRE S.R.L.;ESSENTIAL BUSINESS CENTRE S.R.L.;51505;VTA X MAYOR MAQ, EQ, IMPL MÉDICO PARAMÉD
EMP. DE TRANSP. NAL. E INTERNAL. DE CARG;EMP. DE TRANSP. NAL. E INTERNAL. DE CARGA CRISOSTOMO S.R.L.;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
YOAL INDUSTRIAS S.R.L.;YOAL INDUSTRIAS S.R.L.;15132;ELAB. JUGOS NATURALES Y CONCENTRADOS, DE
COMERCIALIZACION Y SERVICIOS PLAYZONE;COMERCIALIZACION Y SERVICIOS PLAYZONE S.R.L.;45201;CONSTRUCCIÓN Y REPARACIÓN DE EDIFICIOS
TUMOVILBOLIVIA S.R.L.;TUMOVILBOLIVIA S.R.L.;74300;SERV DE PUBLICIDAD
MAPA INTERNATIONAL S.R.L.;MAPA INTERNATIONAL S.R.L.;18101;FABRICN. PRENDAS VESTIR CONFECCIONADAS,
PROCOSMETICA BOLIVIA S.R.L.;PROCOSMETICA BOLIVIA S.R.L.;0;
INTUIT CORP S.R.L.;INTUIT CORP S.R.L.;51509;VTA X MAYOR MAQ, EQ, IMPL ESPECIAL NCP
EMPRESA NACIONAL DE ENERGIA ENEX S.A.;EMPRESA NACIONAL DE ENERGIA ENEX S.A.;51900;VTA X MAYOR OTROS PROD.
FUNDACION PROYECTO DE ESPERANZA;FUNDACION PROYECTO DE ESPERANZA;85322;SERV SOC ORIENTACIÓN Y ASESORAMIENTO SIN
ELEVADORES AMERICA S.R.L.;ELEVADORES AMERICA S.R.L. ELEVAMERICA S.R.L.;29150;FABRICN. DE EQUIPO DE ELEVACIÓN Y MANIPU
TELESERV BOLIVIA S.R.L.;TELESERV BOLIVIA S.R.L.;51336;VTA X MAYOR EQUIPOS SONIDO,VIDEO,DISCOS
CONSTRUCTORA Y CONSULTORA GRIFO DE PALAC;CONSTRUCTORA Y CONSULTORA GRIFO DE PALACIOS VILLARROEL EDDY FRANZ;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
ASOCIACION AGUAYO;ASOCIACION AGUAYO;85329;OTROS SERV ASISTENCIA SOCIAL SIN ALOJAMI
ASOCIACION MINORISTAS ANDRES IBAÑEZ;ASOCIACION DE COMERCIANTES MINORISTAS ANDRES IBAÑEZ;70201;SERV INMOBILIARIOS DE COMPRA, VENTA Y AL
CROWE BOLIVIA S.R.L.;CROWE BOLIVIA S.R.L.;74990;OTROS SERV EMPRESARIALES NCP
GMM DE GIL MONTERO MARCO ANTONIO;GMM DE GIL MONTERO MARCO ANTONIO;74120;"SERV CONTABILIDAD Y AUDITORÍA; ASESORAMI"
LEGALREFERENT LTDA.;LEGALREFERENT LTDA.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
COOPERATIVA DE TRANSPORTE  NACIONAL E IN;COOPERATIVA DE TRANSPORTE NACIONAL E INTERNACIONAL VALLE BAJO COCHABAMBA RL;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
